Purchase_Order_Number,CapChem_Vendor_ID,CapChem_Vendor_Name,CapChem_Raw_Material_ID,CapChem_Raw_Material_Name,CapChem_Raw_Material_Category,Quantity,Unit_Price_Of_RM,Total_Amount,Purchase_Order_Date
PO202201556,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,8.42,1224529,10310535,01/04/22
PO202205684,V012,Bayer Corp,RM0010,Manganese,Micronutrient,1.07,99704,106684,01/04/22
PO202206540,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.06,27538,29191,01/04/22
PO202208347,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,2.9,191798,556215,01/04/22
PO202200005,V008,Deepak Enterprises,RM0001,Ammonia,Nitrogen,6.31,1120640,7071239,01/04/22
PO202207617,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,6.3,286097,1802412,01/04/22
PO202200795,V001,Jubair Corp,RM0002,Urea,Nitrogen,6.39,1373583,8777196,01/04/22
PO202202299,V002,Mecca Enterprises,RM0004,Ammonium Nitrate,Nitrogen,18.7,1386813,25933404,01/04/22
PO202204522,V010,ChemTech Corp,RM0007,Chlorine,Micronutrient,0.73,210508,153671,02/04/22
PO202200019,V001,Jubair Corp,RM0001,Ammonia,Nitrogen,5.86,1456832,8537036,02/04/22
PO202201567,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,7.88,1224529,9649289,02/04/22
PO202203802,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,9.97,1465677,14612800,02/04/22
PO202201571,V009,Hyderabad Chemicals,RM0003,Potassium Chloride,Potassium,4.8,989043,4747407,02/04/22
PO202203798,V005,Volga Chemicals,RM0006,Potassium Nitrate,Potassium,9.58,1814648,17384328,02/04/22
PO202203087,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,4.1,2388775,9793978,02/04/22
PO202206075,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.04,70960,73799,03/04/22
PO202201564,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,7.28,1224529,8914572,03/04/22
PO202200783,V005,Volga Chemicals,RM0002,Urea,Nitrogen,17.26,1373583,23708043,03/04/22
PO202205408,V013,Beijing Corp,RM0009,Zinc,Micronutrient,0.56,7329,4105,03/04/22
PO202202285,V008,Deepak Enterprises,RM0004,Ammonium Nitrate,Nitrogen,11.69,1109451,12969483,03/04/22
PO202200016,V003,Prakash Chemicals,RM0001,Ammonia,Nitrogen,11.4,1120640,12775296,03/04/22
PO202200797,V008,Deepak Enterprises,RM0002,Urea,Nitrogen,10.14,1056602,10713945,03/04/22
PO202203089,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,4.49,2388775,10725600,04/04/22
PO202202293,V001,Jubair Corp,RM0004,Ammonium Nitrate,Nitrogen,18.07,1442286,26062109,04/04/22
PO202207039,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.59,208217,331066,04/04/22
PO202203105,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,5.66,2388775,13520467,04/04/22
PO202203088,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,1.04,2388775,2484326,04/04/22
PO202208354,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,9.78,215773,2110260,04/04/22
PO202203090,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,4.49,2388775,10725600,04/04/22
PO202202300,V008,Deepak Enterprises,RM0004,Ammonium Nitrate,Nitrogen,21.7,1109451,24075087,04/04/22
PO202202282,V002,Mecca Enterprises,RM0004,Ammonium Nitrate,Nitrogen,20.01,1386813,27750129,04/04/22
PO202201568,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,4.57,1224529,5596098,04/04/22
PO202207623,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,11.17,286097,3195704,04/04/22
PO202207622,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,6.69,286097,1913989,04/04/22
PO202204779,V013,Beijing Corp,RM0008,Iron,Micronutrient,4.09,6664,27256,04/04/22
PO202203104,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,1.83,2388775,4371459,05/04/22
PO202201557,V009,Hyderabad Chemicals,RM0003,Potassium Chloride,Potassium,7.32,989043,7239795,05/04/22
PO202204785,V011,Berlin Enterprises,RM0008,Iron,Micronutrient,0.63,9995,6297,05/04/22
PO202206538,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.81,27538,49844,05/04/22
PO202200801,V001,Jubair Corp,RM0002,Urea,Nitrogen,2.14,1373583,2939468,05/04/22
PO202207044,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,3.07,208217,639227,05/04/22
PO202200018,V003,Prakash Chemicals,RM0001,Ammonia,Nitrogen,25.35,1120640,28408224,05/04/22
PO202208361,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,1.18,215773,254613,05/04/22
PO202208357,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,13.01,191798,2495292,05/04/22
PO202202292,V008,Deepak Enterprises,RM0004,Ammonium Nitrate,Nitrogen,32.36,1109451,35901835,05/04/22
PO202206532,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.9,27538,52323,05/04/22
PO202206073,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.02,70960,72380,05/04/22
PO202202291,V002,Mecca Enterprises,RM0004,Ammonium Nitrate,Nitrogen,2.35,1386813,3259011,06/04/22
PO202203091,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,3.22,2388775,7691856,06/04/22
PO202206071,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.13,70960,80185,06/04/22
PO202204770,V011,Berlin Enterprises,RM0008,Iron,Micronutrient,2.66,9995,26587,06/04/22
PO202207628,V015,Wuhan Enterprises,RM0014,Phosphoric Acid,Phosphurus,1.81,181195,327963,06/04/22
PO202202303,V002,Mecca Enterprises,RM0004,Ammonium Nitrate,Nitrogen,0.98,1386813,1359077,06/04/22
PO202204772,V011,Berlin Enterprises,RM0008,Iron,Micronutrient,1.16,9995,11595,06/04/22
PO202203096,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,1.11,2388775,2651541,06/04/22
PO202203809,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,6.74,1465677,9878663,07/04/22
PO202207614,V015,Wuhan Enterprises,RM0014,Phosphoric Acid,Phosphurus,10.83,181195,1962342,07/04/22
PO202204783,V011,Berlin Enterprises,RM0008,Iron,Micronutrient,1.77,9995,17692,07/04/22
PO202200787,V008,Deepak Enterprises,RM0002,Urea,Nitrogen,10.15,1056602,10724511,07/04/22
PO202202287,V008,Deepak Enterprises,RM0004,Ammonium Nitrate,Nitrogen,10.91,1109451,12104111,07/04/22
PO202203097,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,6.19,2388775,14786518,07/04/22
PO202205688,V012,Bayer Corp,RM0010,Manganese,Micronutrient,1.15,99704,114660,07/04/22
PO202207631,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,1.95,286097,557890,07/04/22
PO202206541,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.6,27538,44061,08/04/22
PO202205411,V013,Beijing Corp,RM0009,Zinc,Micronutrient,0.93,7329,6816,08/04/22
PO202200785,V001,Jubair Corp,RM0002,Urea,Nitrogen,14.39,1373583,19765860,08/04/22
