GLOBAL_SUPPLIER_ID,GLOBAL_SUPPLIER_NAME,GLOBAL_SUPPLIER_COUNTRY,GLOBAL_SUPPLIER_ADDRESS,GLOBAL_SUPPLIER_EMAIL,GLOBAL_SUPPLIER_PHONENUMBER,GLOBAL_SUPPLIER_WEBSITE,GLOBAL_TRADE_RESTRICTIONS,WHETHER_EXISITING_VENDOR_FOR_CAPCHEM,GLOBAL_RELIABILITY_SCORE,LEAD_TIME,Contract ID,Start Date,End Date,Contract Value,Payment Terms,Status,Delivery Terms,Discount Terms,Penalty Clauses,Currency,Renewal Terms
S027,Al-Arab Industries,UAE,"211 Industrial Area, UAE, 658588",contact@al-arab.com,-7744705942,http://www.al-arab.com,FALSE,FALSE,8,16,C0001,25/02/24,24/02/25,22718,Net 45,Active,FOB,No Discount,No penalty,USD,Auto-renewal
S040,Al-Nasr Chemicals,UAE,"650 Main St, Sharjah, UAE - 873088",info@al-nasrchemicals.com,-5446841157,http://www.al-nasrchemicals.com,FALSE,FALSE,5,13,C0002,15/12/24,15/12/25,29294,Net 45,Active,EXW,2% if paid within 10 days,Late delivery penalty: 1% per week,GBP,No renewal
S012,Al-Saud Corp,Saudi Arabia,"843 Chemical Zone, Saudi Arabia, 193925",contact@al-saud.com,-4402855054,http://www.al-saud.com,FALSE,FALSE,5,16,C0003,20/11/23,19/11/24,26046,Net 60,Expired,EXW,1% if paid within 15 days,No penalty,EUR,Auto-renewal
S030,Alberta Industries,Canada,"843 Industrial Area, Canada, 801452",contact@alberta.com,-1202152845,http://www.alberta.com,FALSE,FALSE,6,76,C0004,05/03/25,05/03/26,34023,Net 30,Active,EXW,1% if paid within 15 days,Late delivery penalty: 1% per week,INR,Auto-renewal
S066,Aqaba Corp,Jordan,"991 Industrial Area, Jordan, 160823",contact@aqaba.com,-2784296419,http://www.aqaba.com,FALSE,FALSE,3,25,C0005,08/12/24,08/12/25,48482,Net 45,Active,CIF,1% if paid within 15 days,No penalty,USD,No renewal
S080,Atlas Chemicals,Morocco,"343 Tech Park, Morocco, 790645",contact@atlas.com,-5165943036,http://www.atlas.com,FALSE,FALSE,4,31,C0006,24/08/24,24/08/25,43777,Net 45,Expired,CIF,2% if paid within 10 days,Late delivery penalty: 1% per week,EUR,Manual renewal
S009,Bandung Specialty Chemicals,Indonesia,"335 Chemical Zone, Indonesia, 307393",contact@bandung.com,-5194631526,http://www.bandung.com,FALSE,FALSE,6,20,C0007,06/04/25,06/04/26,31199,Net 60,Active,FOB,2% if paid within 10 days,No penalty,USD,No renewal
S054,Bayer Corp,Germany,"920 Industrial Area, Germany, 277917",contact@bayer.com,-3503439158,http://www.bayer.com,FALSE,TRUE,9,42,C0008,05/04/25,05/04/26,26868,Net 45,Active,FOB,No Discount,No penalty,USD,No renewal
S057,Beijing Corp,China,"626 Industrial Area, China, 550948",contact@beijing.com,-6494948041,http://www.beijing.com,FALSE,TRUE,9,36,C0009,08/11/25,08/11/26,49784,Net 60,Active,EXW,2% if paid within 10 days,Late delivery penalty: 1% per week,INR,Manual renewal
S004,BelChem Chemicals,Belarus,"695 Chemical Zone, Belarus, 706828",contact@belchem.com,-8800380682,http://www.belchem.com,FALSE,FALSE,6,47,C0010,10/10/24,10/10/25,13972,Net 45,Expired,EXW,No Discount,Late delivery penalty: 1% per week,INR,Auto-renewal
S045,Berlin Enterprises,Germany,"244 Chemical Zone, Germany, 511740",contact@berlin.com,-6486581057,http://www.berlin.com,FALSE,TRUE,7,41,C0011,25/06/25,25/06/26,28914,Net 30,Active,EXW,No Discount,Breach penalty: $5000,EUR,Auto-renewal
S026,Bharat Enterprises,India,"457 Chemical Zone, India, 313202",contact@bharat.com,-3447443462,http://www.bharat.com,FALSE,FALSE,5,5,C0012,01/08/24,01/08/25,19781,Net 60,Expired,CIF,No Discount,No penalty,INR,No renewal
S069,Bizerte Industries,Tunisia,"216 Chemical Zone, Tunisia, 400947",contact@bizerte.com,-8603062813,http://www.bizerte.com,FALSE,FALSE,5,91,C0013,29/02/24,28/02/25,32761,Net 45,Expired,CIF,1% if paid within 15 days,Late delivery penalty: 1% per week,GBP,Manual renewal
S063,Bremen GmbH,Germany,"986 Market Rd, Munich, Germany - 160688",info@bremengmbh.com,-5333416049,http://www.bremengmbh.com,FALSE,FALSE,9,44,C0014,26/05/25,26/05/26,15211,Net 45,Active,EXW,1% if paid within 15 days,No penalty,INR,Manual renewal
S033,Brest Industries,Belarus,"817 Industrial Area, Belarus, 379566",contact@brest.com,-4725596655,http://www.brest.com,FALSE,FALSE,5,41,C0015,22/05/24,22/05/25,17849,Net 45,Expired,FOB,1% if paid within 15 days,Breach penalty: $5000,INR,Manual renewal
S073,Casablanca Industries,Morocco,"356 Industrial Area, Morocco, 247559",contact@casablanca.com,-7682034323,http://www.casablanca.com,FALSE,TRUE,3,22,C0016,20/11/23,19/11/24,44890,Net 45,Expired,CIF,No Discount,No penalty,INR,No renewal
S044,ChemTech Corp,Germany,"945 Chemical Zone, Germany, 465985",contact@chemtech.com,-5309271572,http://www.chemtech.com,FALSE,TRUE,9,38,C0017,01/03/25,01/03/26,34826,Net 30,Active,EXW,No Discount,No penalty,USD,Auto-renewal
S061,ChemTech GmbH,Germany,"587 Main St, Munich, Germany - 700232",info@chemtechgmbh.com,-4481939865,http://www.chemtechgmbh.com,FALSE,FALSE,7,35,C0018,29/08/25,29/08/26,41568,Net 45,Active,CIF,No Discount,Late delivery penalty: 1% per week,GBP,Auto-renewal
S038,Chennai Chemicals,India,"477 Chemical Lane, Chennai, India - 135866",info@chennaichemicals.com,-4342541103,http://www.chennaichemicals.com,FALSE,FALSE,5,6,C0019,16/11/24,16/11/25,22380,Net 60,Expired,EXW,2% if paid within 10 days,No penalty,GBP,Auto-renewal
S024,Deepak Enterprises,India,"239 Tech Park, India, 444366",contact@deepak.com,-3900368866,http://www.deepak.com,FALSE,TRUE,7,6,C0020,29/04/25,29/04/26,35198,Net 60,Active,FOB,2% if paid within 10 days,Late delivery penalty: 1% per week,USD,No renewal
S010,Desert Corp,Saudi Arabia,"286 Chemical Zone, Saudi Arabia, 710498",contact@desert.com,-8020091616,http://www.desert.com,FALSE,FALSE,7,16,C0021,30/03/24,30/03/25,34002,Net 60,Expired,EXW,2% if paid within 10 days,Late delivery penalty: 1% per week,USD,No renewal
S028,Dubai Enterprises,UAE,"808 Tech Park, UAE, 119823",contact@dubai.com,-9868722471,http://www.dubai.com,FALSE,FALSE,10,15,C0022,23/04/24,23/04/25,23070,Net 30,Expired,FOB,No Discount,Late delivery penalty: 1% per week,USD,No renewal
S053,Elliot & Sons Enterprises,USA,"892 Tech Park, USA, 631710",contact@elliot&sons.com,-6208447603,http://www.elliot&sons.com,FALSE,FALSE,6,73,C0023,25/09/25,25/09/26,35719,Net 45,Active,FOB,2% if paid within 10 days,No penalty,INR,No renewal
S006,Emirates Specialty Chemicals,UAE,"416 Chemical Zone, UAE, 870927",contact@emirates.com,-9500652921,http://www.emirates.com,FALSE,FALSE,8,16,C0024,04/08/24,04/08/25,30873,Net 30,Expired,CIF,1% if paid within 15 days,Breach penalty: $5000,GBP,No renewal
S067,Fez Corp,Morocco,"145 Industrial Area, Morocco, 662290",contact@fez.com,-7402253722,http://www.fez.com,FALSE,FALSE,5,27,C0025,25/09/24,25/09/25,24272,Net 30,Expired,FOB,2% if paid within 10 days,Breach penalty: $5000,EUR,Auto-renewal
S050,Frankfurt Corp,Germany,"843 Industrial Area, Germany, 902337",contact@frankfurt.com,-7400127611,http://www.frankfurt.com,FALSE,FALSE,8,38,C0026,17/12/24,17/12/25,23912,Net 45,Active,FOB,1% if paid within 15 days,No penalty,EUR,Auto-renewal
S072,Frontier Chemicals,USA,"203 Chemical Zone, USA, 914097",contact@frontier.com,-5548097068,http://www.frontier.com,FALSE,FALSE,9,97,C0027,12/02/24,11/02/25,34501,Net 60,Expired,CIF,No Discount,Breach penalty: $5000,USD,Manual renewal
S058,Frontier Specialty Chemicals,USA,"878 Industrial Area, USA, 455983",contact@frontier.com,-3754285709,http://www.frontier.com,FALSE,FALSE,7,80,C0028,31/08/24,31/08/25,38735,Net 30,Expired,FOB,2% if paid within 10 days,Late delivery penalty: 1% per week,GBP,No renewal
S036,Garuda Chemicals,Indonesia,"353 Main St, Surabaya, Indonesia - 411814",info@garudachemicals.com,-1406555833,http://www.garudachemicals.com,FALSE,FALSE,6,16,C0029,14/03/24,14/03/25,42617,Net 45,Expired,FOB,No Discount,Breach penalty: $5000,EUR,Manual renewal
S064,Greenfield Chemicals Ltd.,USA,"685 Main St, Houston, USA - 946074",info@greenfieldchemicalsltd.com,-1884449435,http://www.greenfieldchemicalsltd.com,FALSE,TRUE,7,78,C0030,02/12/24,02/12/25,15813,Net 60,Active,EXW,1% if paid within 15 days,Breach penalty: $5000,GBP,Auto-renewal
S029,Grodno Industries,Belarus,"775 Industrial Area, Belarus, 251936",contact@grodno.com,-8226593818,http://www.grodno.com,FALSE,FALSE,5,48,C0031,15/02/24,14/02/25,13123,Net 30,Expired,FOB,1% if paid within 15 days,Breach penalty: $5000,INR,Auto-renewal
S056,Guangzhou Chemicals,China,"586 Chemical Zone, China, 409236",contact@guangzhou.com,-3515857671,http://www.guangzhou.com,FALSE,FALSE,9,30,C0032,23/03/25,23/03/26,40639,Net 60,Active,CIF,1% if paid within 15 days,No penalty,EUR,No renewal
S077,Guangzhou Industries,China,"872 Tech Park, China, 938414",contact@guangzhou.com,-9389982179,http://www.guangzhou.com,FALSE,FALSE,9,31,C0033,03/04/24,03/04/25,49631,Net 60,Expired,FOB,2% if paid within 10 days,Breach penalty: $5000,GBP,Manual renewal
S034,Hyderabad Chemicals,India,"846 Main St, Hyderabad, India - 607708",info@hyderabadchemicals.com,-8145306802,http://www.hyderabadchemicals.com,FALSE,TRUE,8,5,C0034,25/09/24,25/09/25,33730,Net 45,Expired,FOB,2% if paid within 10 days,No penalty,EUR,No renewal
S043,Indo Chemicals,Indonesia,"544 Market Rd, Bandung, Indonesia - 689583",info@indochemicals.com,-7817799044,http://www.indochemicals.com,FALSE,FALSE,8,18,C0035,31/07/24,31/07/25,37267,Net 45,Expired,CIF,2% if paid within 10 days,Late delivery penalty: 1% per week,USD,No renewal
S070,Irbid Specialty Chemicals,Jordan,"172 Industrial Area, Jordan, 678765",contact@irbid.com,-6033719751,http://www.irbid.com,FALSE,FALSE,5,36,C0036,17/10/24,17/10/25,27174,Net 60,Expired,FOB,No Discount,No penalty,EUR,No renewal
S008,Jakarta Specialty Chemicals,Indonesia,"822 Chemical Zone, Indonesia, 650579",contact@jakarta.com,-3208841566,http://www.jakarta.com,FALSE,FALSE,5,18,C0037,26/05/25,26/05/26,39253,Net 30,Active,FOB,2% if paid within 10 days,No penalty,INR,Auto-renewal
S005,Jeddah Corp,Saudi Arabia,"452 Tech Park, Saudi Arabia, 745359",contact@jeddah.com,-1290214172,http://www.jeddah.com,FALSE,FALSE,5,15,C0038,05/06/25,05/06/26,48930,Net 45,Active,FOB,1% if paid within 15 days,No penalty,GBP,Auto-renewal
S002,Jubair Corp,UAE,"500 Chemical Zone, UAE, 475260",contact@jubair.com,-5107979166,http://www.jubair.com,FALSE,TRUE,8,17,C0039,08/04/24,08/04/25,27425,Net 45,Expired,FOB,2% if paid within 10 days,Breach penalty: $5000,INR,No renewal
S014,Kazan Corp,Russia,"592 Chemical Zone, Russia, 620008",contact@kazan.com,-2771340325,http://www.kazan.com,TRUE,FALSE,7,37,C0040,20/11/24,20/11/25,21972,Net 45,Active,FOB,1% if paid within 15 days,No penalty,USD,Auto-renewal
S055,Liberty Specialty Chemicals,USA,"287 Tech Park, USA, 761474",contact@liberty.com,-9369642320,http://www.liberty.com,FALSE,FALSE,5,64,C0041,05/06/25,05/06/26,17557,Net 30,Active,EXW,1% if paid within 15 days,No penalty,USD,Manual renewal
S039,Maghreb Chemicals,UAE,"803 Chemical Lane, Dubai, UAE - 430939",info@maghrebchemicals.com,-9735550388,http://www.maghrebchemicals.com,FALSE,FALSE,8,13,C0042,24/07/24,24/07/25,41273,Net 60,Expired,CIF,No Discount,Breach penalty: $5000,USD,No renewal
S032,Maple Chemicals,Canada,"134 Tech Park, Canada, 805955",contact@maple.com,-7495978691,http://www.maple.com,FALSE,FALSE,8,90,C0043,09/10/25,09/10/26,20051,Net 45,Active,CIF,No Discount,Late delivery penalty: 1% per week,EUR,Auto-renewal
S003,Mecca Enterprises,Saudi Arabia,"568 Industrial Area, Saudi Arabia, 949897",contact@mecca.com,-5784962307,http://www.mecca.com,FALSE,TRUE,9,19,C0044,14/09/24,14/09/25,37590,Net 30,Expired,CIF,No Discount,Late delivery penalty: 1% per week,INR,Auto-renewal
S001,Medan Chemicals,Indonesia,"400 Industrial Area, Indonesia, 177474",contact@medan.com,-9489537070,http://www.medan.com,FALSE,FALSE,7,18,C0045,21/04/24,21/04/25,44343,Net 30,Expired,FOB,2% if paid within 10 days,Late delivery penalty: 1% per week,USD,Auto-renewal
S011,Minsk Specialty Chemicals,Belarus,"294 Industrial Area, Belarus, 607715",contact@minsk.com,-2244885861,http://www.minsk.com,FALSE,FALSE,8,42,C0046,13/11/24,13/11/25,14159,Net 45,Expired,EXW,2% if paid within 10 days,No penalty,EUR,No renewal
S022,Moscow Industries,Russia,"845 Chemical Zone, Russia, 218240",contact@moscow.com,-6660799580,http://www.moscow.com,TRUE,FALSE,5,46,C0047,13/12/23,12/12/24,20421,Net 45,Expired,EXW,1% if paid within 15 days,Breach penalty: $5000,USD,No renewal
S013,Mumbai Chemicals,India,"393 Chemical Zone, India, 244625",contact@mumbai.com,-7398443399,http://www.mumbai.com,FALSE,FALSE,6,5,C0048,09/06/24,09/06/25,13318,Net 45,Expired,FOB,No Discount,No penalty,USD,No renewal
S018,Navin Corp,India,"329 Tech Park, India, 174470",contact@navin.com,-8313254635,http://www.navin.com,FALSE,TRUE,7,5,C0049,05/10/24,05/10/25,15043,Net 30,Expired,FOB,2% if paid within 10 days,Late delivery penalty: 1% per week,GBP,Manual renewal
S059,Nordic GmbH,Germany,"447 Main St, Munich, Germany - 304949",info@nordicgmbh.com,-1171820326,http://www.nordicgmbh.com,FALSE,FALSE,8,45,C0050,23/08/24,23/08/25,19635,Net 30,Expired,EXW,1% if paid within 15 days,No penalty,USD,No renewal
S020,Nova Industries,Canada,"980 Tech Park, Canada, 713998",contact@nova.com,-2793581355,http://www.nova.com,FALSE,TRUE,7,82,C0051,05/05/24,05/05/25,31276,Net 30,Expired,CIF,No Discount,Late delivery penalty: 1% per week,USD,Auto-renewal
S042,Nusantara Chemicals,Indonesia,"929 Market Rd, Jakarta, Indonesia - 127842",info@nusantarachemicals.com,-3288458119,http://www.nusantarachemicals.com,FALSE,FALSE,8,18,C0052,20/03/25,20/03/26,38464,Net 30,Active,EXW,2% if paid within 10 days,Late delivery penalty: 1% per week,EUR,Auto-renewal
S021,Ontario Enterprises,Canada,"172 Chemical Zone, Canada, 585905",contact@ontario.com,-2457643845,http://www.ontario.com,FALSE,FALSE,6,76,C0053,06/09/24,06/09/25,30834,Net 30,Expired,FOB,2% if paid within 10 days,Late delivery penalty: 1% per week,GBP,Auto-renewal
S060,Orient Chemicals Co.,China,"103 Market Rd, Shenzhen, China - 941395",info@orientchemicalsco.com,-8736795860,http://www.orientchemicalsco.com,FALSE,FALSE,8,37,C0054,19/03/25,19/03/26,48764,Net 30,Active,CIF,No Discount,Breach penalty: $5000,EUR,Manual renewal
S046,Pioneer Chemicals,USA,"275 Industrial Area, USA, 730239",contact@pioneer.com,-9095147342,http://www.pioneer.com,FALSE,FALSE,7,89,C0055,14/02/24,13/02/25,10887,Net 30,Expired,EXW,No Discount,Breach penalty: $5000,EUR,Manual renewal
S076,Pioneer Industries,USA,"141 Industrial Area, USA, 606907",contact@pioneer.com,-2459365585,http://www.pioneer.com,FALSE,FALSE,5,82,C0056,25/12/23,24/12/24,12183,Net 60,Expired,FOB,No Discount,No penalty,GBP,Auto-renewal
S007,Prakash Chemicals,India,"983 Chemical Zone, India, 487019",contact@prakash.com,-2042815223,http://www.prakash.com,FALSE,TRUE,7,7,C0057,10/12/23,09/12/24,33675,Net 45,Expired,CIF,1% if paid within 15 days,No penalty,INR,Auto-renewal
S023,Quebec Chemicals,Canada,"364 Industrial Area, Canada, 181288",contact@quebec.com,-1764570398,http://www.quebec.com,FALSE,FALSE,7,87,C0058,30/05/25,30/05/26,45290,Net 45,Active,EXW,1% if paid within 15 days,Breach penalty: $5000,USD,Auto-renewal
S075,Rabat Enterprises,Morocco,"243 Tech Park, Morocco, 747901",contact@rabat.com,-3499504777,http://www.rabat.com,FALSE,FALSE,5,33,C0059,02/12/24,02/12/25,36497,Net 60,Active,FOB,1% if paid within 15 days,No penalty,INR,Auto-renewal
S062,Red Dragon Chemicals Co.,China,"247 Market Rd, Shenzhen, China - 822969",info@reddragonchemicalsco.com,-5870613279,http://www.reddragonchemicalsco.com,FALSE,FALSE,6,37,C0060,23/08/24,23/08/25,46359,Net 60,Expired,EXW,1% if paid within 15 days,No penalty,INR,No renewal
S052,Rhein Chemicals,Germany,"145 Industrial Area, Germany, 278937",contact@rhein.com,-4909002382,http://www.rhein.com,FALSE,FALSE,9,46,C0061,20/09/25,20/09/26,19282,Net 30,Active,CIF,1% if paid within 15 days,No penalty,USD,Manual renewal
S019,Riyadh Enterprises,Saudi Arabia,"561 Tech Park, Saudi Arabia, 462608",contact@riyadh.com,-6439427839,http://www.riyadh.com,FALSE,FALSE,5,16,C0062,19/08/24,19/08/25,24746,Net 30,Expired,FOB,1% if paid within 15 days,No penalty,EUR,Manual renewal
S041,Sahara Chemicals,UAE,"267 Main St, Sharjah, UAE - 498617",info@saharachemicals.com,-8109595673,http://www.saharachemicals.com,FALSE,FALSE,5,17,C0063,08/08/24,08/08/25,34391,Net 30,Expired,FOB,2% if paid within 10 days,Breach penalty: $5000,USD,Manual renewal
S078,Sfax Industries,Tunisia,"425 Tech Park, Tunisia, 663997",contact@sfax.com,-1236613983,http://www.sfax.com,FALSE,FALSE,7,68,C0064,10/01/25,10/01/26,11137,Net 30,Active,CIF,1% if paid within 15 days,Breach penalty: $5000,USD,No renewal
S016,Sharjah Corp,UAE,"589 Industrial Area, UAE, 157660",contact@sharjah.com,-3650033403,http://www.sharjah.com,FALSE,FALSE,7,13,C0065,22/07/24,22/07/25,20303,Net 60,Expired,FOB,1% if paid within 15 days,Breach penalty: $5000,EUR,Manual renewal
S071,Shenzhen Industries,China,"605 Chemical Zone, China, 701726",contact@shenzhen.com,-8974616077,http://www.shenzhen.com,FALSE,FALSE,6,30,C0066,11/08/25,11/08/26,39417,Net 60,Active,CIF,No Discount,Late delivery penalty: 1% per week,INR,Manual renewal
S047,Shenzhen Specialty Chemicals,China,"493 Chemical Zone, China, 437845",contact@shenzhen.com,-2502561826,http://www.shenzhen.com,FALSE,FALSE,5,27,C0067,04/08/25,04/08/26,24228,Net 45,Active,EXW,1% if paid within 15 days,No penalty,USD,Manual renewal
S031,SiberChem Specialty Chemicals,Russia,"131 Industrial Area, Russia, 988007",contact@siberchem.com,-6028481660,http://www.siberchem.com,TRUE,FALSE,6,45,C0068,17/08/24,17/08/25,35263,Net 60,Expired,FOB,1% if paid within 15 days,Late delivery penalty: 1% per week,GBP,Manual renewal
S079,SinoChem Industries,China,"720 Chemical Zone, China, 944495",contact@sinochem.com,-5683739350,http://www.sinochem.com,FALSE,FALSE,7,33,C0069,04/03/25,04/03/26,43345,Net 45,Active,EXW,No Discount,Breach penalty: $5000,INR,No renewal
S048,SinoChem Specialty Chemicals,China,"905 Tech Park, China, 345370",contact@sinochem.com,-8885441712,http://www.sinochem.com,FALSE,FALSE,5,26,C0070,05/04/24,05/04/25,49976,Net 60,Expired,EXW,2% if paid within 10 days,Late delivery penalty: 1% per week,INR,Manual renewal
S037,St. Petersburg Chemicals,Russia,"904 Market Rd, Moscow, Russia - 280378",info@stpetersburgchemicals.com,-1033965696,http://www.stpetersburgchemicals.com,TRUE,FALSE,5,42,C0071,07/03/25,07/03/26,24654,Net 30,Active,CIF,1% if paid within 15 days,Late delivery penalty: 1% per week,EUR,Manual renewal
S068,Summit Enterprises,USA,"672 Industrial Area, USA, 145180",contact@summit.com,-9421462301,http://www.summit.com,FALSE,TRUE,5,87,C0072,16/11/25,16/11/26,17217,Net 30,Active,EXW,2% if paid within 10 days,Late delivery penalty: 1% per week,GBP,Manual renewal
S051,Summit Industries,USA,"844 Chemical Zone, USA, 541340",contact@summit.com,-3640268215,http://www.summit.com,FALSE,FALSE,6,94,C0073,27/10/25,27/10/26,47487,Net 30,Active,FOB,No Discount,Breach penalty: $5000,EUR,Manual renewal
S035,Surya Chemicals,Indonesia,"965 Market Rd, Bandung, Indonesia - 180907",info@suryachemicals.com,-9889148278,http://www.suryachemicals.com,FALSE,FALSE,7,18,C0074,15/09/25,15/09/26,36038,Net 60,Active,CIF,No Discount,Late delivery penalty: 1% per week,EUR,Manual renewal
S015,Ural Enterprises,Russia,"448 Chemical Zone, Russia, 952531",contact@ural.com,-3497207097,http://www.ural.com,TRUE,TRUE,3,41,C0075,22/07/24,22/07/25,28758,Net 30,Expired,CIF,1% if paid within 15 days,No penalty,INR,Manual renewal
S025,Vitebsk Specialty Chemicals,Belarus,"505 Chemical Zone, Belarus, 197053",contact@vitebsk.com,-3498364033,http://www.vitebsk.com,FALSE,FALSE,6,49,C0076,07/12/23,06/12/24,18287,Net 45,Expired,FOB,2% if paid within 10 days,Late delivery penalty: 1% per week,EUR,No renewal
S017,Volga Chemicals,Russia,"447 Industrial Area, Russia, 757276",contact@volga.com,-5813239224,http://www.volga.com,TRUE,TRUE,3,35,C0077,28/03/25,28/03/26,37550,Net 45,Active,FOB,1% if paid within 15 days,Late delivery penalty: 1% per week,INR,Manual renewal
S049,Wuhan Corp,China,"455 Chemical Zone, China, 801911",contact@wuhan.com,-6875363216,http://www.wuhan.com,FALSE,FALSE,6,33,C0078,27/06/25,27/06/26,27812,Net 60,Active,CIF,1% if paid within 15 days,Late delivery penalty: 1% per week,USD,Auto-renewal
