Global_Supplier_ID,Global_Supplier_Name,Global_Supplier_Country,Global_Supplier_Address,Global_Supplier_PhoneNumber,Global_Supplier_Website,Global_Supplier_Email,Lead_Time,Whether_Exisiting_Vendor_For_CapChem,Global_Reliability_Score,Global_Trade_Restrictions,Global_Supplier_Capacity
S001,Medan Chemicals,Indonesia,"400 Industrial Area, Indonesia, 177474",+62-9489537132,http://www.medan.com,contact@medan.com,18,No,7,No,341290
S002,Jubair Corp,UAE,"500 Chemical Zone, UAE, 475260",+971-5107980137,http://www.jubair.com,contact@jubair.com,17,Yes,8,No,408594
S003,Mecca Enterprises,Saudi Arabia,"568 Industrial Area, Saudi Arabia, 949897",+966-5784963273,http://www.mecca.com,contact@mecca.com,19,Yes,9,No,179784
S004,BelChem Chemicals,Belarus,"695 Chemical Zone, Belarus, 706828",+375-8800381057,http://www.belchem.com,contact@belchem.com,47,No,6,No,236830
S005,Jeddah Corp,Saudi Arabia,"452 Tech Park, Saudi Arabia, 745359",+966-1290215138,http://www.jeddah.com,contact@jeddah.com,15,No,5,No,378446
S006,Emirates Specialty Chemicals,UAE,"416 Chemical Zone, UAE, 870927",+971-9500653892,http://www.emirates.com,contact@emirates.com,16,No,8,No,478858
S007,Prakash Chemicals,India,"983 Chemical Zone, India, 487019",+91-2042815314,http://www.prakash.com,contact@prakash.com,7,Yes,7,No,457229
S008,Jakarta Specialty Chemicals,Indonesia,"822 Chemical Zone, Indonesia, 650579",+62-3208841628,http://www.jakarta.com,contact@jakarta.com,18,No,5,No,401208
S009,Bandung Specialty Chemicals,Indonesia,"335 Chemical Zone, Indonesia, 307393",+62-5194631588,http://www.bandung.com,contact@bandung.com,20,No,6,No,51292
S010,Desert Corp,Saudi Arabia,"286 Chemical Zone, Saudi Arabia, 710498",+966-8020092582,http://www.desert.com,contact@desert.com,16,No,7,No,402889
S011,Minsk Specialty Chemicals,Belarus,"294 Industrial Area, Belarus, 607715",+375-2244886236,http://www.minsk.com,contact@minsk.com,42,No,8,No,43263
S012,Al-Saud Corp,Saudi Arabia,"843 Chemical Zone, Saudi Arabia, 193925",+966-4402856020,http://www.al-saud.com,contact@al-saud.com,16,No,5,No,11897
S013,Mumbai Chemicals,India,"393 Chemical Zone, India, 244625",+91-7398443490,http://www.mumbai.com,contact@mumbai.com,5,No,6,No,244706
S014,Kazan Corp,Russia,"592 Chemical Zone, Russia, 620008",+7-2771340332,http://www.kazan.com,contact@kazan.com,37,No,7,Yes,129654
S015,Ural Enterprises,Russia,"448 Chemical Zone, Russia, 952531",+7-3497207104,http://www.ural.com,contact@ural.com,41,Yes,3,Yes,209609
S016,Sharjah Corp,UAE,"589 Industrial Area, UAE, 157660",+971-3650034374,http://www.sharjah.com,contact@sharjah.com,13,No,7,No,187702
S017,Volga Chemicals,Russia,"447 Industrial Area, Russia, 757276",+7-5813239231,http://www.volga.com,contact@volga.com,35,Yes,3,Yes,206073
S018,Navin Corp,India,"329 Tech Park, India, 174470",+91-8313254726,http://www.navin.com,contact@navin.com,5,Yes,7,No,338519
S019,Riyadh Enterprises,Saudi Arabia,"561 Tech Park, Saudi Arabia, 462608",+966-6439428805,http://www.riyadh.com,contact@riyadh.com,16,No,5,No,173225
S020,Nova Industries,Canada,"980 Tech Park, Canada, 713998",+1-2793581356,http://www.nova.com,contact@nova.com,82,Yes,7,No,424415
S021,Ontario Enterprises,Canada,"172 Chemical Zone, Canada, 585905",+1-2457643846,http://www.ontario.com,contact@ontario.com,76,No,6,No,471702
